"Model_Year","Electric_Vehicle_Type","Vehicle_Count"
"2010","Battery Electric Vehicle (BEV)","1"
"2011","Plug-in Hybrid Electric Vehicle (PHEV)","1"
"2011","Battery Electric Vehicle (BEV)","5"
"2012","Plug-in Hybrid Electric Vehicle (PHEV)","7"
"2012","Battery Electric Vehicle (BEV)","9"
"2013","Plug-in Hybrid Electric Vehicle (PHEV)","23"
"2013","Battery Electric Vehicle (BEV)","26"
"2014","Plug-in Hybrid Electric Vehicle (PHEV)","14"
"2014","Battery Electric Vehicle (BEV)","18"
"2015","Plug-in Hybrid Electric Vehicle (PHEV)","9"
"2015","Battery Electric Vehicle (BEV)","41"
"2016","Plug-in Hybrid Electric Vehicle (PHEV)","30"
"2016","Battery Electric Vehicle (BEV)","46"
"2017","Plug-in Hybrid Electric Vehicle (PHEV)","29"
"2017","Battery Electric Vehicle (BEV)","38"
"2018","Plug-in Hybrid Electric Vehicle (PHEV)","40"
"2018","Battery Electric Vehicle (BEV)","111"
"2019","Plug-in Hybrid Electric Vehicle (PHEV)","17"
"2019","Battery Electric Vehicle (BEV)","94"
"2020","Plug-in Hybrid Electric Vehicle (PHEV)","17"
"2020","Battery Electric Vehicle (BEV)","113"
"2021","Plug-in Hybrid Electric Vehicle (PHEV)","35"
"2021","Battery Electric Vehicle (BEV)","151"
"2022","Plug-in Hybrid Electric Vehicle (PHEV)","49"
"2022","Battery Electric Vehicle (BEV)","192"
"2023","Plug-in Hybrid Electric Vehicle (PHEV)","69"
"2023","Battery Electric Vehicle (BEV)","435"
"2024","Plug-in Hybrid Electric Vehicle (PHEV)","77"
"2024","Battery Electric Vehicle (BEV)","279"
"2025","Plug-in Hybrid Electric Vehicle (PHEV)","7"
"2025","Battery Electric Vehicle (BEV)","16"
